year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,datetime,NO2_sat_flag,HCHO_sat_flag,ratio_sat_flag,O3_target_lag1,O3_target_lag24,O3_target_lag168,NO2_target_lag1,NO2_target_lag24,NO2_target_lag168
2019,7,13,0,24.04,40.4,23.28,20.99,1.55,-2.28,0.02,,0.61,,14.1,22.07,2019-07-13 00:00:00,0,1,0,,,,,,
2019,7,13,1,23.06,43.55,25.15,20.96,1.58,-2.02,0.57,,0.61,,13.57,24.72,2019-07-13 01:00:00,0,1,0,14.1,,,22.07,,
2019,7,13,2,22.08,46.69,23.18,20.94,1.62,-1.76,1.13,,0.61,,13.32,28.07,2019-07-13 02:00:00,0,1,0,13.57,,,24.72,,
2019,7,13,3,21.1,49.84,26.26,20.91,1.66,-1.5,1.69,,0.61,,14.6,23.62,2019-07-13 03:00:00,0,1,0,13.32,,,28.07,,
2019,7,13,4,23.2,50.34,22.28,21.15,1.43,-1.47,2.15,,0.61,,17.3,15.22,2019-07-13 04:00:00,0,1,0,14.6,,,23.62,,
2019,7,13,5,25.31,50.83,21.96,21.39,1.19,-1.43,2.62,,0.61,,20.77,11.43,2019-07-13 05:00:00,0,1,0,17.3,,,15.22,,
2019,7,13,6,27.41,51.33,21.75,21.62,0.96,-1.4,3.08,,0.61,,23.95,11.1,2019-07-13 06:00:00,0,1,0,20.77,,,11.43,,
2019,7,13,7,31.52,49.05,19.04,21.61,1.07,-1.44,2.38,,0.61,,31.8,11.15,2019-07-13 07:00:00,0,1,0,23.95,,,11.1,,
2019,7,13,8,35.62,46.77,19.1,21.6,1.18,-1.47,1.67,,0.61,,36.62,13.62,2019-07-13 08:00:00,0,1,0,31.8,,,11.15,,
2019,7,13,9,39.73,44.49,23.2,21.59,1.29,-1.51,0.96,,1.29,,39.92,18.73,2019-07-13 09:00:00,0,1,0,36.62,,,13.62,,
