year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,datetime,NO2_sat_flag,HCHO_sat_flag,ratio_sat_flag,O3_target_lag1,O3_target_lag24,O3_target_lag168,NO2_target_lag1,NO2_target_lag24,NO2_target_lag168
2019,7,10,0,31.93,42.81,6.69,21.06,-0.18,1.14,1.2,0.64,0.47,1.36,4.65,18.12,2019-07-10 00:00:00,1,1,1,,,,,,
2019,7,10,1,21.28,50.08,7.02,20.15,-1.21,0.96,1.65,0.64,0.47,1.36,6.0,16.95,2019-07-10 01:00:00,1,1,1,4.65,,,18.12,,
2019,7,10,2,10.64,57.35,6.29,19.24,-2.24,0.78,2.1,0.64,0.47,1.36,6.98,18.32,2019-07-10 02:00:00,1,1,1,6.0,,,16.95,,
2019,7,10,3,0.0,64.62,8.59,18.33,-3.26,0.6,2.55,0.64,0.47,1.36,16.47,17.4,2019-07-10 03:00:00,1,1,1,6.98,,,18.32,,
2019,7,10,4,5.86,61.22,6.82,17.91,-2.55,0.43,2.83,0.64,0.47,1.36,14.28,20.2,2019-07-10 04:00:00,1,1,1,16.47,,,17.4,,
2019,7,10,5,11.71,57.82,8.43,17.49,-1.84,0.27,3.11,0.64,0.47,1.36,22.15,21.3,2019-07-10 05:00:00,1,1,1,14.28,,,20.2,,
2019,7,10,6,17.57,54.43,6.39,17.06,-1.13,0.11,3.39,0.64,0.47,1.36,27.83,23.57,2019-07-10 06:00:00,1,1,1,22.15,,,21.3,,
2019,7,10,7,13.76,61.92,6.14,17.07,-1.44,-0.06,2.98,0.64,0.47,1.36,33.0,22.27,2019-07-10 07:00:00,1,1,1,27.83,,,23.57,,
2019,7,10,8,9.96,69.41,6.71,17.08,-1.76,-0.23,2.56,0.64,0.47,1.36,33.17,20.12,2019-07-10 08:00:00,1,1,1,33.0,,,22.27,,
2019,7,10,9,6.15,76.9,7.91,17.09,-2.07,-0.4,2.14,0.64,0.47,1.36,31.98,19.0,2019-07-10 09:00:00,1,1,1,33.17,,,20.12,,
2019,7,10,10,10.08,70.88,8.81,17.24,-2.08,-0.44,2.54,0.64,0.47,1.36,30.97,20.88,2019-07-10 10:00:00,1,1,1,31.98,,,19.0,,
2019,7,10,11,14.01,64.86,13.62,17.4,-2.09,-0.48,2.93,0.64,0.47,1.36,30.88,23.18,2019-07-10 11:00:00,1,1,1,30.97,,,20.88,,
2019,7,10,12,17.93,58.84,14.69,17.55,-2.1,-0.52,3.32,0.64,0.47,1.36,23.17,27.23,2019-07-10 12:00:00,1,1,1,30.88,,,23.18,,
2019,7,10,13,17.34,59.79,12.06,18.53,-1.65,-0.05,2.71,0.64,0.47,1.36,11.3,35.15,2019-07-10 13:00:00,1,1,1,23.17,,,27.23,,
2019,7,10,14,16.74,60.75,9.99,19.51,-1.2,0.42,2.1,0.64,0.47,1.36,5.33,41.75,2019-07-10 14:00:00,1,1,1,11.3,,,35.15,,
2019,7,10,15,16.14,61.7,9.14,20.49,-0.74,0.88,1.5,0.64,0.47,1.36,2.35,47.57,2019-07-10 15:00:00,1,1,1,5.33,,,41.75,,
2019,7,10,16,22.74,55.14,9.99,20.15,-0.95,1.11,1.53,0.64,0.47,1.36,1.65,46.27,2019-07-10 16:00:00,1,1,1,2.35,,,47.57,,
2019,7,10,17,29.34,48.58,9.48,19.82,-1.15,1.35,1.56,0.64,0.47,1.36,1.95,43.05,2019-07-10 17:00:00,1,1,1,1.65,,,46.27,,
