year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,datetime,NO2_sat_flag,HCHO_sat_flag,ratio_sat_flag,O3_target_lag1,O3_target_lag24,O3_target_lag168,NO2_target_lag1,NO2_target_lag24,NO2_target_lag168
2019,7,14,0,0.12,59.19,21.78,20.14,1.56,-0.07,0.8,,,,5.23,19.4,2019-07-14 00:00:00,0,0,0,,,,,,
2019,7,14,1,0.41,62.09,23.02,20.23,1.39,-0.09,0.79,,,,7.5,17.1,2019-07-14 01:00:00,0,0,0,5.23,,,19.4,,
2019,7,14,2,0.69,64.99,24.61,20.32,1.23,-0.12,0.77,,,,8.93,15.43,2019-07-14 02:00:00,0,0,0,7.5,,,17.1,,
2019,7,14,3,0.98,67.89,24.0,20.4,1.06,-0.15,0.75,,,,11.03,12.62,2019-07-14 03:00:00,0,0,0,8.93,,,15.43,,
2019,7,14,4,1.88,71.59,23.56,21.0,0.94,0.42,0.86,,,,15.57,14.95,2019-07-14 04:00:00,0,0,0,11.03,,,12.62,,
2019,7,14,5,2.79,75.29,25.11,21.6,0.82,0.99,0.96,,,,22.2,15.45,2019-07-14 05:00:00,0,0,0,15.57,,,14.95,,
2019,7,14,6,3.69,78.98,24.07,22.2,0.7,1.56,1.06,,,,33.67,14.95,2019-07-14 06:00:00,0,0,0,22.2,,,15.45,,
2019,7,14,7,11.56,70.69,25.1,21.81,0.31,1.47,1.11,,,,43.8,17.43,2019-07-14 07:00:00,0,0,0,33.67,,,14.95,,
2019,7,14,8,19.44,62.39,24.79,21.42,-0.08,1.38,1.16,,,,49.65,13.75,2019-07-14 08:00:00,0,0,0,43.8,,,17.43,,
2019,7,14,9,27.31,54.09,23.65,21.03,-0.47,1.29,1.21,,,,46.22,12.25,2019-07-14 09:00:00,0,0,0,49.65,,,13.75,,
2019,7,14,10,18.55,66.51,23.42,20.82,-0.44,1.13,1.19,,,,52.88,10.77,2019-07-14 10:00:00,0,0,0,46.22,,,12.25,,
2019,7,14,11,9.8,78.92,24.0,20.61,-0.4,0.97,1.16,,,,45.15,12.35,2019-07-14 11:00:00,0,0,0,52.88,,,10.77,,
2019,7,14,12,1.04,91.34,23.49,20.39,-0.37,0.81,1.13,,,,50.35,12.38,2019-07-14 12:00:00,0,0,0,45.15,,,12.35,,
2019,7,14,13,9.84,73.76,24.76,20.16,-0.57,0.95,0.28,,,,43.35,18.17,2019-07-14 13:00:00,0,0,0,50.35,,,12.38,,
2019,7,14,14,18.64,56.17,25.1,19.93,-0.78,1.08,-0.58,,,,32.38,20.2,2019-07-14 14:00:00,0,0,0,43.35,,,18.17,,
2019,7,14,15,27.44,38.59,26.41,19.69,-0.98,1.22,-1.43,,,,33.4,27.12,2019-07-14 15:00:00,0,0,0,32.38,,,20.2,,
2019,7,14,16,25.71,36.97,26.75,19.64,-0.77,0.92,-0.88,,,,37.88,25.48,2019-07-14 16:00:00,0,0,0,33.4,,,27.12,,
2019,7,14,17,23.98,35.35,27.17,19.58,-0.55,0.61,-0.34,,,,37.57,22.58,2019-07-14 17:00:00,0,0,0,37.88,,,25.48,,
2019,7,14,18,22.24,33.73,27.75,19.52,-0.33,0.31,0.21,,,,38.05,17.65,2019-07-14 18:00:00,0,0,0,37.57,,,22.58,,
2019,7,14,19,17.02,38.18,28.39,19.52,0.1,-0.26,0.63,,,,37.85,12.78,2019-07-14 19:00:00,0,0,0,38.05,,,17.65,,
2019,7,14,20,11.8,42.63,27.46,19.51,0.53,-0.82,1.04,,,,53.5,10.45,2019-07-14 20:00:00,0,0,0,37.85,,,12.78,,
2019,7,14,21,6.58,47.08,27.46,19.51,0.96,-1.39,1.46,,,,37.58,14.3,2019-07-14 21:00:00,0,0,0,53.5,,,10.45,,
2019,7,14,22,4.39,57.83,24.04,18.7,0.95,-1.52,0.98,,,,27.88,13.98,2019-07-14 22:00:00,0,0,0,37.58,,,14.3,,
2019,7,14,23,2.2,68.59,24.1,17.9,0.95,-1.65,0.49,,,,25.23,12.75,2019-07-14 23:00:00,0,0,0,27.88,,,13.98,,
2019,7,15,0,0.02,79.34,21.91,17.1,0.95,-1.79,0.0,,,,24.45,11.4,2019-07-15 00:00:00,0,0,0,25.23,5.23,,12.75,19.4,
2019,7,15,1,0.01,88.11,22.78,18.1,1.36,-1.46,0.63,,,,25.6,11.6,2019-07-15 01:00:00,0,0,0,24.45,7.5,,11.4,17.1,
2019,7,15,2,0.01,96.88,23.29,19.1,1.77,-1.13,1.26,,,,25.17,14.8,2019-07-15 02:00:00,0,0,0,25.6,8.93,,11.6,15.43,
2019,7,15,3,0.0,105.65,24.59,20.09,2.18,-0.81,1.88,,,,19.68,24.12,2019-07-15 03:00:00,0,0,0,25.17,11.03,,14.8,12.62,
2019,7,15,4,4.06,94.17,24.54,19.91,1.89,-0.98,1.82,,,,17.98,33.33,2019-07-15 04:00:00,0,0,0,19.68,15.57,,24.12,14.95,
2019,7,15,5,8.13,82.69,23.46,19.73,1.61,-1.15,1.75,,,,27.12,27.8,2019-07-15 05:00:00,0,0,0,17.98,22.2,,33.33,15.45,
2019,7,15,6,12.19,71.2,24.97,19.55,1.32,-1.32,1.68,,,,30.45,25.77,2019-07-15 06:00:00,0,0,0,27.12,33.67,,27.8,14.95,
2019,7,15,7,8.24,98.66,25.52,19.96,0.34,-0.99,1.37,,,,44.25,19.27,2019-07-15 07:00:00,0,0,0,30.45,43.8,,25.77,17.43,
2019,7,15,8,4.29,126.12,24.93,20.38,-0.64,-0.66,1.05,,,,33.95,21.95,2019-07-15 08:00:00,0,0,0,44.25,49.65,,19.27,13.75,
2019,7,15,9,0.33,153.58,27.52,20.79,-1.63,-0.32,0.73,,,,45.15,24.73,2019-07-15 09:00:00,0,0,0,33.95,46.22,,21.95,12.25,
