year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target,datetime,NO2_sat_flag,HCHO_sat_flag,ratio_sat_flag,O3_target_lag1,O3_target_lag24,O3_target_lag168,NO2_target_lag1,NO2_target_lag24,NO2_target_lag168
2019,7,10,0,0.08,84.46,6.97,21.22,-1.4,0.6,1.89,0.61,0.19,3.29,3.2,22.75,2019-07-10 00:00:00,1,1,1,,,,,,
2019,7,10,1,0.43,83.3,7.48,21.2,-1.97,0.76,2.11,0.61,0.19,3.29,3.77,16.7,2019-07-10 01:00:00,1,1,1,3.2,,,22.75,,
2019,7,10,2,0.79,82.13,6.06,21.18,-2.55,0.92,2.32,0.61,0.19,3.29,10.05,19.73,2019-07-10 02:00:00,1,1,1,3.77,,,16.7,,
2019,7,10,3,1.15,80.97,8.5,21.15,-3.13,1.08,2.54,0.61,0.19,3.29,56.85,28.8,2019-07-10 03:00:00,1,1,1,10.05,,,19.73,,
2019,7,10,4,0.76,90.29,6.88,21.17,-2.56,0.88,2.2,0.61,0.19,3.29,9.08,27.5,2019-07-10 04:00:00,1,1,1,56.85,,,28.8,,
2019,7,10,5,0.38,99.61,7.52,21.18,-1.99,0.69,1.86,0.61,0.19,3.29,17.67,23.12,2019-07-10 05:00:00,1,1,1,9.08,,,27.5,,
2019,7,10,6,0.0,108.93,6.52,21.2,-1.42,0.49,1.52,0.61,0.19,3.29,27.57,15.57,2019-07-10 06:00:00,1,1,1,17.67,,,23.12,,
2019,7,10,7,9.02,99.95,6.68,21.18,-1.7,0.4,1.6,0.61,0.19,3.29,40.23,12.6,2019-07-10 07:00:00,1,1,1,27.57,,,15.57,,
2019,7,10,8,18.03,90.97,6.66,21.16,-1.97,0.31,1.68,0.61,0.19,3.29,41.38,11.43,2019-07-10 08:00:00,1,1,1,40.23,,,12.6,,
2019,7,10,9,27.05,81.99,7.05,21.14,-2.24,0.21,1.76,0.61,0.19,3.29,45.32,9.95,2019-07-10 09:00:00,1,1,1,41.38,,,11.43,,
2019,7,10,10,27.84,78.08,9.18,21.23,-2.2,-0.0,1.89,0.61,0.19,3.29,49.62,10.25,2019-07-10 10:00:00,1,1,1,45.32,,,9.95,,
2019,7,10,11,28.63,74.18,13.34,21.33,-2.17,-0.22,2.01,0.61,0.19,3.29,49.28,10.4,2019-07-10 11:00:00,1,1,1,49.62,,,10.25,,
2019,7,10,12,29.41,70.28,14.42,21.42,-2.13,-0.43,2.13,0.61,0.19,3.29,43.83,10.9,2019-07-10 12:00:00,1,1,1,49.28,,,10.4,,
